appid,release_date
41700,2010-02-11
41740,2011-04-21
41800,2009-11-16
41900,2009-12-11
42000,2011-01-27
42120,2010-04-08
42140,2011-05-31
42170,2012-06-12
42210,2011-07-25
42220,2011-07-25
42230,2011-07-25
42500,2010-06-14
42670,2010-06-30
42700,2010-11-08
42810,2009-11-11
42850,2010-02-23
42890,2010-06-04
42910,2011-01-25
42920,2010-10-08
42930,2009-12-03
42940,2009-11-17
42950,2009-10-20
42960,2010-08-30
42980,2010-08-20
42990,2012-11-30
43000,2010-10-07
43100,2009-10-30
43190,2011-10-24
43500,2010-04-19
43600,2010-01-13
44100,2010-02-18
44350,2013-05-27
44360,2011-09-19
44600,2012-09-25
44680,2011-11-18
44690,2012-11-28
45000,2010-03-15
45100,2010-02-03
45300,2010-01-08
45400,2010-04-14
45410,2011-10-28
45420,2016-08-01
45450,2011-05-06
45700,2009-12-22
45710,2010-01-22
45720,2010-02-11
45730,2010-04-12
45740,2010-09-27
45750,2010-10-15
45760,2014-08-07
45770,2011-10-11
46000,2010-01-22
46200,2010-01-22
46250,2010-02-19
46260,2010-03-02
46270,2010-03-02
46280,2010-03-02
46290,2010-07-09
46340,2010-07-09
46350,2011-11-30
46360,2010-07-09
46370,2010-07-09
46380,2010-07-12
46400,2010-01-13
46410,2010-03-17
46440,2010-07-15
46450,2010-10-15
46480,2011-06-01
46490,2011-06-01
46500,2011-05-19
46510,2011-05-19
46520,2011-09-01
46540,2011-07-15
46550,2011-08-26
46570,2011-11-21
46600,2010-08-19
46700,2010-04-28
46710,2010-04-28
46720,2010-07-21
46730,2010-04-28
46740,2010-04-21
46750,2010-04-21
46760,2011-06-21
46770,2010-08-27
46790,2011-04-08
46830,2011-06-21
46840,2011-06-21
46850,2011-04-20
47110,2010-07-08
47120,2010-07-08
47130,2010-07-08
47400,2012-05-25
47410,2012-02-27
47700,2010-03-18
47730,2010-03-18
47780,2011-01-27
47790,2010-10-12
47800,2011-03-08
47810,2010-10-29
47870,2010-12-14
47890,2011-01-27
47920,2011-03-31
48000,2011-08-02
48110,2010-03-01
48150,2010-07-15
48190,2011-03-17
48240,2011-11-17
48700,2010-03-31
48720,2011-05-03
48800,2010-08-27
48950,2010-12-10
49000,2010-05-06
49300,2010-07-30
49320,2010-11-02
49470,2011-06-15
49520,2012-09-20
49600,2010-04-15
49800,2010-05-12
49810,2011-02-23
49900,2010-04-05
50000,2010-10-25
50130,2011-03-22
50300,2012-06-28
50510,2010-08-12
50910,2010-04-21
50920,2010-04-21
50930,2010-04-21
50940,2010-04-21
50960,2010-04-21
50970,2007-12-14
50980,2010-04-21
50990,2010-04-21
51000,2010-04-21
51010,2010-04-21
51020,2010-04-21
51030,2010-04-21
51060,2011-01-19
55000,2010-04-01
55040,2011-03-14
55100,2011-03-14
55110,2011-06-09
55140,2010-11-26
55150,2011-09-08
55230,2011-11-17
57000,2010-09-27
57200,2010-06-21
57300,2010-09-08
57620,2010-09-17
57640,2010-09-02
57650,2011-02-04
57680,2011-05-12
57690,2011-09-01
57700,2011-01-31
57740,2012-02-08
57800,2010-10-15
57900,2011-06-09
58200,2010-06-07
58230,2012-04-19
58400,2010-07-01
58520,2010-10-28
58550,2011-09-28
58560,2011-04-21
58570,2011-04-21
58610,2012-02-22
60340,2011-01-25
60350,2011-09-30
60600,2010-10-06
60700,2010-08-04
60800,2010-06-03
61100,2011-07-19
61310,2011-11-29
61500,2010-10-01
61510,2010-10-01
61520,2010-10-01
61600,2010-11-16
61700,2011-09-21
61730,2012-09-11
62000,2010-11-18
62100,2010-09-06
63000,2011-04-04
63110,2010-08-03
63200,2011-01-24
63500,2010-12-02
63610,2010-08-04
63650,2010-08-03
63660,2011-02-02
63700,2010-11-02
63710,2011-02-28
63800,2010-09-24
63900,2010-08-06
63910,2010-09-17
63940,2011-09-08
63960,2011-03-24
64000,2011-02-24
65070,2013-11-04
65080,2011-01-20
65270,2011-08-04
65400,2010-11-02
65500,2010-10-04
65530,2012-06-19
65540,2001-03-15
65560,2011-02-25
65600,2011-03-22
65610,2011-10-24
65710,2010-11-05
65730,2011-10-27
65740,2012-09-28
65780,2011-07-13
65790,2011-08-08
65800,2011-10-18
65930,2013-08-22
65980,2014-10-23
67000,2010-10-15
67370,2012-02-09
